index,x,y
1,1004.845154,597.346741
2,1190.196167,603.346558
3,1378.544312,611.221558
4,1567.612915,618.549255
5,1757.349365,624.629456
6,1949.754028,632.019226
7,2144.160400,638.762024
8,2340.535889,646.685852
9,2538.891846,652.311401
10,991.899780,782.567017
11,1178.784302,789.931274
12,1367.582397,797.213806
13,1556.944092,804.775391
14,1748.851562,811.230591
15,1942.236450,819.319519
16,2137.003662,828.115479
17,2334.760010,834.159912
18,2535.009521,842.320618
19,980.218628,969.643494
20,1167.687744,976.325684
21,1357.259766,986.101135
22,1547.178711,994.337463
23,1738.858887,1002.206299
24,1933.632080,1009.614746
25,2130.305908,1018.671631
26,2329.470947,1026.013550
27,2533.337646,1034.861328
28,968.041626,1157.621338
29,1156.303223,1167.242920
30,1346.384033,1176.779297
31,1537.080444,1185.573853
32,1729.513062,1195.171143
33,1924.996582,1203.626221
34,2122.704834,1213.255493
35,2322.348389,1222.532593
36,2526.842773,1230.656616
37,955.565735,1347.963379
38,1146.050171,1357.823730
39,1335.258667,1368.591187
40,1526.259033,1379.331299
41,1720.383545,1389.343384
42,1915.946533,1399.530273
43,2114.714355,1410.114014
44,2316.442871,1420.325562
45,2519.699707,1432.427368
46,943.236938,1540.186523
47,1133.998413,1550.162476
48,1324.418091,1561.886475
49,1516.410522,1574.054565
50,1710.651489,1585.763672
51,1907.026001,1596.734009
52,2106.089600,1609.377319
53,2308.594482,1621.067505
54,2513.245117,1635.091187
