x,y,z
1.2738806154037716,0.14841057540478933,0.12250759909084354
1.266239944842379,0.15282374055480583,0.0554798415007597
1.258652844926288,0.1572059639042291,-0.011077967778063318
1.2511880531039163,0.16151754347802694,-0.07656282970347669
1.2434106946195858,0.16600965803085974,-0.14478968165191042
1.2357638081889757,0.1704264133968378,-0.21187196793443858
1.2691399684570208,0.08246124522744079,0.11906201471916063
1.2615000478511158,0.0870090715773147,0.05196581905366855
1.2539387126719155,0.09151011826903256,-0.014440214574987663
1.246455577645442,0.09596461464518032,-0.08015946976456233
1.238678611301019,0.10059402040574704,-0.1484592443886645
1.2310401384251741,0.10514098496329953,-0.21554272563153531
1.2641841215377323,0.01351816879510479,0.11546001927732387
1.2565513811425129,0.018295582253183833,0.0482970207803607
1.2490231796007403,0.023007563730153953,-0.01794610588900535
1.2415272879799022,0.02769932208369664,-0.08390492691468336
1.233757308154863,0.03256263516170923,-0.15227554038889574
1.226134032659671,0.03733412443811438,-0.2193552541108754
1.2592439741367247,-0.055206504384177804,0.11186943451749744
1.2516048638158273,-0.05038806235920257,0.044629815996599
1.2440963790519768,-0.045652013655854015,-0.021460033473196517
1.2365743479481408,-0.040907420468772465,-0.08766911812807654
1.2287974265740484,-0.036002052801631206,-0.15612175259658423
1.2211756988722087,-0.03119457503016901,-0.22320836891889598
1.2543181338340634,-0.12373214490751504,0.10828924840473732
1.2466394561893235,-0.11933400356404997,0.040948606491275505
1.2391183081801176,-0.11502609098586442,-0.02501052844037666
1.2315369748791383,-0.11068370588099323,-0.0914974777131571
1.2237189799159782,-0.1062057673007704,-0.16005990781543467
1.2160655090363417,-0.1018220637187098,-0.2271794908667898
1.2495236008123585,-0.19043110917258005,0.10480449869975729
1.241822579231286,-0.1862175588571042,0.037377513324774445
1.2343049771093393,-0.18210436498287796,-0.028443526519768742
1.2266819962798596,-0.17793351401969346,-0.09518721909250454
1.2188406437791963,-0.173643182801283,-0.16384288442420641
1.2111725204750974,-0.16944763250617595,-0.2309818259835737
1.2446035308899726,-0.25887647526959573,0.10122850659940093
1.2369119116460536,-0.2544034207389779,0.03373688650176167
1.229429270724261,-0.25005189737116806,-0.0319210123626338
1.2217960135131174,-0.24561278323032315,-0.09890052336863592
1.213963938971576,-0.24105804704263747,-0.16762459599508678
1.206313138288882,-0.23660873051105888,-0.23475804562955274
1.2397894313736721,-0.3258476380820292,0.09772953562699808
1.2320520516694824,-0.32188380611962253,0.03013392696933524
1.224550593172504,-0.318040835748285,-0.03540061732204203
1.216851930670596,-0.3140968384701987,-0.10265798319547914
1.2089724124954242,-0.3100601894772332,-0.17149534769646574
1.2012836211306614,-0.3061212491474185,-0.23866647694342188
1.2349341417284938,-0.39339181580992116,0.0942006269549683
1.2271945195073204,-0.38933186920822566,0.026532693211140334
1.2197164514843022,-0.3854091251789055,-0.03884845809739579
1.2119960417027893,-0.3813592567795927,-0.10634841644696559
1.2041138314618907,-0.3772245132783092,-0.17526300492350627
1.1964306198095274,-0.3731941577717079,-0.24243773802735463
